TriNum is 58653 		divby: 24
TriNum is 58996 		divby: 24
TriNum is 59340 		divby: 48
TriNum is 59685 		divby: 16
TriNum is 60031 		divby: 4
TriNum is 60378 		divby: 16
TriNum is 60726 		divby: 16
TriNum is 61075 		divby: 12
TriNum is 61425 		divby: 48
TriNum is 61776 		divby: 80
TriNum is 62128 		divby: 20
TriNum is 62481 		divby: 8
TriNum is 62835 		divby: 16
TriNum is 63190 		divby: 16
TriNum is 63546 		divby: 32
TriNum is 63903 		divby: 16
TriNum is 64261 		divby: 4
TriNum is 64620 		divby: 36
TriNum is 64980 		divby: 54
TriNum is 65341 		divby: 6
TriNum is 65703 		divby: 12
TriNum is 66066 		divby: 48
TriNum is 66430 		divby: 32
TriNum is 66795 		divby: 16
TriNum is 67161 		divby: 8
TriNum is 67528 		divby: 16
TriNum is 67896 		divby: 48
TriNum is 68265 		divby: 24
TriNum is 68635 		divby: 16
TriNum is 69006 		divby: 32
TriNum is 69378 		divby: 16
TriNum is 69751 		divby: 8
TriNum is 70125 		divby: 32
TriNum is 70500 		divby: 48
TriNum is 70876 		divby: 24
TriNum is 71253 		divby: 32
TriNum is 71631 		divby: 16
TriNum is 72010 		divby: 16
TriNum is 72390 		divby: 32
TriNum is 72771 		divby: 8
TriNum is 73153 		divby: 4
TriNum is 73536 		divby: 28
TriNum is 73920 		divby: 112
TriNum is 74305 		divby: 16
TriNum is 74691 		divby: 12
TriNum is 75078 		divby: 24
TriNum is 75466 		divby: 8
TriNum is 75855 		divby: 16
TriNum is 76245 		divby: 32
TriNum is 76636 		divby: 36
TriNum is 77028 		divby: 36
TriNum is 77421 		divby: 8
TriNum is 77815 		divby: 8
TriNum is 78210 		divby: 48
TriNum is 78606 		divby: 24
TriNum is 79003 		divby: 4
TriNum is 79401 		divby: 16
TriNum is 79800 		divby: 96
TriNum is 80200 		divby: 24
TriNum is 80601 		divby: 8
TriNum is 81003 		divby: 16
TriNum is 81406 		divby: 16
TriNum is 81810 		divby: 40
TriNum is 82215 		divby: 40
TriNum is 82621 		divby: 16
TriNum is 83028 		divby: 48
TriNum is 83436 		divby: 24
TriNum is 83845 		divby: 8
TriNum is 84255 		divby: 16
TriNum is 84666 		divby: 16
TriNum is 85078 		divby: 16
TriNum is 85491 		divby: 24
TriNum is 85905 		divby: 24
TriNum is 86320 		divby: 40
TriNum is 86736 		divby: 40
TriNum is 87153 		divby: 16
TriNum is 87571 		divby: 8
TriNum is 87990 		divby: 32
TriNum is 88410 		divby: 32
TriNum is 88831 		divby: 4
TriNum is 89253 		divby: 12
TriNum is 89676 		divby: 36
TriNum is 90100 		divby: 36
TriNum is 90525 		divby: 24
TriNum is 90951 		divby: 16
TriNum is 91378 		divby: 16
TriNum is 91806 		divby: 32
TriNum is 92235 		divby: 32
TriNum is 92665 		divby: 8
TriNum is 93096 		divby: 32
TriNum is 93528 		divby: 32
TriNum is 93961 		divby: 8
TriNum is 94395 		divby: 32
TriNum is 94830 		divby: 32
TriNum is 95266 		divby: 16
TriNum is 95703 		divby: 16
TriNum is 96141 		divby: 8
TriNum is 96580 		divby: 24
TriNum is 97020 		divby: 108
TriNum is 97461 		divby: 36
TriNum is 97903 		divby: 8
TriNum is 98346 		divby: 16
TriNum is 98790 		divby: 32
TriNum is 99235 		divby: 8
TriNum is 99681 		divby: 8
TriNum is 100128 		divby: 48
TriNum is 100576 		divby: 24
